count,from,to,timeframe,start,end
294,alebarbo73,fnr_uruguay,129,2020-06-17 10:43:10,2020-06-17 11:25:21
295,jam250363,telesurtv,130,2020-06-17 10:43:34,2020-06-17 11:25:21
296,juanfe_07,hectorje1969,130,2020-06-17 10:43:34,2020-06-17 11:25:21
297,jam250363,presentes_docu,130,2020-06-17 10:43:34,2020-06-17 11:25:21
298,jam250363,vtvcanal8,130,2020-06-17 10:43:34,2020-06-17 11:25:21
299,juanfe_07,sofemna,130,2020-06-17 10:43:34,2020-06-17 11:25:21
300,jam250363,juventudpsuv,130,2020-06-17 10:43:34,2020-06-17 11:25:21
301,jam250363,redeuropave,130,2020-06-17 10:43:34,2020-06-17 11:25:21
302,jaimenievesdiz,cocoramazzi,131,2020-06-17 10:43:38,2020-06-17 11:25:21
303,jaimenievesdiz,cossecarolina,131,2020-06-17 10:43:38,2020-06-17 11:25:21
304,jaimenievesdiz,camimcetrangolo,131,2020-06-17 10:43:38,2020-06-17 11:25:21
305,jaimenievesdiz,tinchonegriazul,131,2020-06-17 10:43:38,2020-06-17 11:25:21
306,jaimenievesdiz,gonzaloremisero,131,2020-06-17 10:43:38,2020-06-17 11:25:21
307,jaimenievesdiz,crisricheri,131,2020-06-17 10:43:38,2020-06-17 11:25:21
308,jaimenievesdiz,alvillar,131,2020-06-17 10:43:38,2020-06-17 11:25:21
309,jaimenievesdiz,frente_amplio,131,2020-06-17 10:43:38,2020-06-17 11:25:21
310,jaimenievesdiz,jfaenie,131,2020-06-17 10:43:38,2020-06-17 11:25:21
311,jaimenievesdiz,dmartinez_uy,131,2020-06-17 10:43:38,2020-06-17 11:25:21
312,jaimenievesdiz,mfrenteamplista,131,2020-06-17 10:43:38,2020-06-17 11:25:21
313,jaimenievesdiz,marciotomorrow,131,2020-06-17 10:43:38,2020-06-17 11:25:21
314,alexanderojasa,noticiascaracol,131,2020-06-17 10:43:38,2020-06-17 11:25:21
315,jaimenievesdiz,lucaveloz,131,2020-06-17 10:43:38,2020-06-17 11:25:21
316,icp_uc,nandorosenblatt,132,2020-06-17 10:43:56,2020-06-17 11:25:21
317,damian_osta,projectpoder,132,2020-06-17 10:43:56,2020-06-17 11:25:21
318,damian_osta,ladiaria,132,2020-06-17 10:43:56,2020-06-17 11:25:21
